#,Browser,Page,Field,isPresent,Value, Size, Location
1,Chrome,index.php,id_quotes,true,The journey of a thousand miles begins with one step,(1664x20),(8x48)
2,Chrome,index.php,id_f_title,true,Sign Up,(151x44),(434x87)
3,Chrome,index.php,id_current_location,true,San Jose, CA,(130x24),(1077x70)
4,Chrome,index.php,id_weather_icon,true,null,(50x50),(1057x95)
5,Chrome,index.php,id_temperature,true,88 ℉,(72x42),(1135x100)
6,Chrome,index.php,id_f_label_fn,true,First Name,(104x24),(434x153)
7,Chrome,index.php,id_fname,true,null,(386x42),(434x181)
8,Chrome,index.php,fname_error,true,null,null,null
9,Chrome,index.php,id_f_label_ln,true,Last Name,(103x24),(859x153)
10,Chrome,index.php,id_lname,true,null,(386x42),(859x181)
11,Chrome,index.php,lname_error,true,null,null,null
12,Chrome,index.php,id_f_label_ea,true,Email Address,(136x24),(434x233)
13,Chrome,index.php,id_email,true,null,(386x42),(434x261)
14,Chrome,index.php,email_error,true,null,null,null
15,Chrome,index.php,id_f_label_pn,true,Phone Number,(143x24),(859x233)
16,Chrome,index.php,id_phone,true,null,(386x42),(859x261)
17,Chrome,index.php,phone_error,true,null,null,null
18,Chrome,index.php,id_rb_label_g,true,Gender,(71x24),(436x311)
19,Chrome,index.php,id_gender_male,true,null,(19x20),(446x357)
20,Chrome,index.php,id_rb_label_m,true,Male,(44x23),(479x356)
21,Chrome,index.php,id_gender_female,true,null,(19x20),(625x357)
22,Chrome,index.php,id_rb_label_f,true,Female,(66x23),(658x356)
23,Chrome,index.php,id_f_label_s,true,State,(50x24),(859x313)
24,Chrome,index.php,id_state,true,null,(342x44),(859x341)
25,Chrome,index.php,id_terms,true,null,(19x20),(434x424)
26,Chrome,index.php,id_cb_label_t,true,I agree to the Terms,(231x30),(464x417)
27,Chrome,index.php,ErrorLine,true,null,null,null
28,Chrome,index.php,id_link_facebook,true,null,(60x17),(434x528)
29,Chrome,index.php,id_img_facebook,true,null,(60x60),(434x482)
30,Chrome,index.php,id_link_twitter,true,null,(60x17),(499x528)
31,Chrome,index.php,id_img_twitter,true,null,(60x60),(499x482)
32,Chrome,index.php,id_link_flickr,true,null,(60x17),(565x528)
33,Chrome,index.php,id_img_flickr,true,null,(60x60),(565x482)
34,Chrome,index.php,id_link_youtube,true,null,(60x17),(630x528)
35,Chrome,index.php,id_img_youtube,true,null,(60x60),(630x482)
36,Chrome,index.php,id_reset_button,true,null,(104x37),(871x497)
37,Chrome,index.php,id_submit_button,true,null,(118x37),(1126x497)
38,Chrome,index.php,timestamp,true,May 27, 2020,(290x24),(415x555)
39,Chrome,index.php,copyright,true,© 2020 alex.academy,(250x24),(705x555)
40,Chrome,index.php,os_browser,true,macOS Catalina 10.15 & Chrome 83,(310x24),(955x555)
41,Chrome,confirmation.php,id_f_title,true,Confirmation,(249x44),(440x77)
42,Chrome,confirmation.php,id_f_label_fn,true,First Name,(104x24),(441x157)
43,Chrome,confirmation.php,id_fname,true,John,(66x42),(441x182)
44,Chrome,confirmation.php,id_f_label_ln,true,Last Name,(103x24),(866x157)
45,Chrome,confirmation.php,id_lname,true,Smith,(76x42),(866x182)
46,Chrome,confirmation.php,id_f_label_ea,true,Email Address,(136x24),(441x241)
47,Chrome,confirmation.php,id_email,true,john_smith@gmail.com,(281x42),(441x266)
48,Chrome,confirmation.php,id_f_label_pn,true,Phone Number,(143x24),(866x241)
49,Chrome,confirmation.php,id_phone,true,(415)555-1212,(181x42),(866x266)
50,Chrome,confirmation.php,id_rb_label_g,true,Gender,(71x24),(441x325)
51,Chrome,confirmation.php,id_gender,true,null,(10x42),(441x350)
52,Chrome,confirmation.php,id_f_label_s,true,State,(50x24),(866x325)
53,Chrome,confirmation.php,id_state,true,null,(10x42),(866x350)
54,Chrome,confirmation.php,id_cb_label_t,true,Terms?,(70x24),(441x409)
55,Chrome,confirmation.php,id_terms,true,null,(10x42),(441x434)
56,Chrome,confirmation.php,id_back_button,true,null,(120x37),(866x500)
57,Chrome,confirmation.php,copyright,true,© 2020 alex.academy,(230x24),(725x558)
