#,Browser,Page,Field,isPresent,Value, Size, Location
1,Msedge,index.php,Last Name,true,null,(1664x20),(8x48)
2,Msedge,index.php,Last Name,true,null,(151x44),(434x87)
3,Msedge,index.php,Last Name,true,null,(130x24),(1077x70)
4,Msedge,index.php,Last Name,true,null,(50x50),(1057x95)
5,Msedge,index.php,Last Name,true,null,(72x42),(1135x100)
6,Msedge,index.php,Last Name,true,null,(104x24),(434x153)
7,Msedge,index.php,Last Name,true,null,(386x42),(434x181)
8,Msedge,index.php,Last Name,true,null,null,null
9,Msedge,index.php,Last Name,true,null,(103x24),(859x153)
10,Msedge,index.php,Last Name,true,null,(386x42),(859x181)
11,Msedge,index.php,Last Name,true,null,null,null
12,Msedge,index.php,Last Name,true,null,(136x24),(434x233)
13,Msedge,index.php,Last Name,true,null,(386x42),(434x261)
14,Msedge,index.php,Last Name,true,null,null,null
15,Msedge,index.php,Last Name,true,null,(143x24),(859x233)
16,Msedge,index.php,Last Name,true,null,(386x42),(859x261)
17,Msedge,index.php,Last Name,true,null,null,null
18,Msedge,index.php,Last Name,true,Gender,(71x24),(436x311)
19,Msedge,index.php,Last Name,true,null,(19x20),(446x357)
20,Msedge,index.php,Last Name,true,Male,(44x23),(479x356)
21,Msedge,index.php,Last Name,true,null,(19x20),(625x357)
22,Msedge,index.php,Last Name,true,Female,(66x23),(658x356)
23,Msedge,index.php,Last Name,true,State,(50x24),(859x313)
24,Msedge,index.php,Last Name,true,null,(342x44),(859x341)
25,Msedge,index.php,Last Name,true,null,(19x20),(434x424)
26,Msedge,index.php,Last Name,true,null,(231x30),(464x417)
27,Msedge,index.php,Last Name,true,null,null,null
28,Msedge,index.php,Last Name,true,null,(60x17),(434x528)
29,Msedge,index.php,Last Name,true,null,(60x60),(434x482)
30,Msedge,index.php,Last Name,true,null,(60x17),(499x528)
31,Msedge,index.php,Last Name,true,null,(60x60),(499x482)
32,Msedge,index.php,Last Name,true,null,(60x17),(565x528)
33,Msedge,index.php,Last Name,true,null,(60x60),(565x482)
34,Msedge,index.php,Last Name,true,null,(60x17),(630x528)
35,Msedge,index.php,Last Name,true,null,(60x60),(630x482)
36,Msedge,index.php,Last Name,true,null,(104x37),(871x497)
37,Msedge,index.php,Last Name,true,null,(118x37),(1126x497)
38,Msedge,index.php,Last Name,true,null,(290x24),(415x555)
39,Msedge,index.php,Last Name,true,null,(250x24),(705x555)
40,Msedge,index.php,Last Name,true,null,(310x24),(955x555)
41,Msedge,confirmation.php,Last Name,true,Confirmation,(249x44),(440x77)
42,Msedge,confirmation.php,Last Name,true,null,(104x24),(441x157)
43,Msedge,confirmation.php,Last Name,true,John,(66x42),(441x182)
44,Msedge,confirmation.php,Last Name,true,null,(103x24),(866x157)
45,Msedge,confirmation.php,Last Name,true,Smith,(76x42),(866x182)
46,Msedge,confirmation.php,Last Name,true,null,(136x24),(441x241)
47,Msedge,confirmation.php,Last Name,true,null,(281x42),(441x266)
48,Msedge,confirmation.php,Last Name,true,null,(143x24),(866x241)
49,Msedge,confirmation.php,Last Name,true,null,(181x42),(866x266)
50,Msedge,confirmation.php,Last Name,true,Gender,(71x24),(441x325)
51,Msedge,confirmation.php,Last Name,true,null,(10x42),(441x350)
52,Msedge,confirmation.php,Last Name,true,State,(50x24),(866x325)
53,Msedge,confirmation.php,Last Name,true,null,(10x42),(866x350)
54,Msedge,confirmation.php,Last Name,true,null,(70x24),(441x409)
55,Msedge,confirmation.php,Last Name,true,null,(10x42),(441x434)
56,Msedge,confirmation.php,Last Name,true,null,(120x37),(866x500)
57,Msedge,confirmation.php,Last Name,true,null,(230x24),(725x558)
