#,Browser,Page,Field,isPresent,Value, Size, Location
1,Firefox,index.php,id_quotes,true,Believe you can and you're halfway there,(1664x20),(8x48)
2,Firefox,index.php,id_f_title,true,Sign Up,(151x45),(440x86)
3,Firefox,index.php,id_current_location,true,San Jose, CA,(130x24),(1083x70)
4,Firefox,index.php,id_weather_icon,true,null,(50x50),(1063x95)
5,Firefox,index.php,id_temperature,true,84 ℉,(72x38),(1141x102)
6,Firefox,index.php,id_f_label_fn,true,First Name,(104x24),(440x155)
7,Firefox,index.php,id_fname,true,null,(343x38),(440x182)
8,Firefox,index.php,fname_error,true,null,null,null
9,Firefox,index.php,id_f_label_ln,true,Last Name,(103x24),(865x155)
10,Firefox,index.php,id_lname,true,null,(343x38),(865x182)
11,Firefox,index.php,lname_error,true,null,null,null
12,Firefox,index.php,id_f_label_ea,true,Email Address,(137x24),(440x235)
13,Firefox,index.php,id_email,true,null,(343x38),(440x262)
14,Firefox,index.php,email_error,true,null,null,null
15,Firefox,index.php,id_f_label_pn,true,Phone Number,(143x24),(865x235)
16,Firefox,index.php,id_phone,true,null,(343x38),(865x262)
17,Firefox,index.php,phone_error,true,null,null,null
18,Firefox,index.php,id_rb_label_g,true,Gender,(71x24),(442x311)
19,Firefox,index.php,id_gender_male,true,null,(19x20),(451x357)
20,Firefox,index.php,id_rb_label_m,true,Male,(43x20),(484x357)
21,Firefox,index.php,id_gender_female,true,null,(19x20),(631x357)
22,Firefox,index.php,id_rb_label_f,true,Female,(65x20),(664x357)
23,Firefox,index.php,id_f_label_s,true,State,(49x24),(865x315)
24,Firefox,index.php,id_state,true,null,(344x40),(865x343)
25,Firefox,index.php,id_terms,true,null,(19x20),(440x424)
26,Firefox,index.php,id_cb_label_t,true,I agree to the Terms,(231x30),(470x417)
27,Firefox,index.php,ErrorLine,true,null,null,null
28,Firefox,index.php,id_link_facebook,true,null,(60x14),(440x527)
29,Firefox,index.php,id_img_facebook,true,null,(60x60),(440x482)
30,Firefox,index.php,id_link_twitter,true,null,(60x14),(505x527)
31,Firefox,index.php,id_img_twitter,true,null,(60x60),(505x482)
32,Firefox,index.php,id_link_flickr,true,null,(60x14),(571x527)
33,Firefox,index.php,id_img_flickr,true,null,(60x60),(571x482)
34,Firefox,index.php,id_link_youtube,true,null,(60x14),(636x527)
35,Firefox,index.php,id_img_youtube,true,null,(60x60),(636x482)
36,Firefox,index.php,id_reset_button,true,null,(104x37),(866x496)
37,Firefox,index.php,id_submit_button,true,null,(117x37),(1121x496)
38,Firefox,index.php,timestamp,true,May 27, 2020,(290x24),(415x555)
39,Firefox,index.php,copyright,true,© 2020 alex.academy,(250x24),(705x555)
40,Firefox,index.php,os_browser,true,macOS Catalina 10.15 & Firefox 76,(310x24),(955x555)
41,Firefox,confirmation.php,id_f_title,true,Confirmation,(248x45),(440x76)
42,Firefox,confirmation.php,id_f_label_fn,true,First Name,(104x24),(441x157)
43,Firefox,confirmation.php,id_fname,true,John,(66x38),(441x183)
44,Firefox,confirmation.php,id_f_label_ln,true,Last Name,(103x24),(866x157)
45,Firefox,confirmation.php,id_lname,true,Smith,(76x38),(866x183)
46,Firefox,confirmation.php,id_f_label_ea,true,Email Address,(137x24),(441x241)
47,Firefox,confirmation.php,id_email,true,john_smith@gmail.com,(280x38),(441x267)
48,Firefox,confirmation.php,id_f_label_pn,true,Phone Number,(143x24),(866x241)
49,Firefox,confirmation.php,id_phone,true,(415)555-1212,(180x38),(866x267)
50,Firefox,confirmation.php,id_rb_label_g,true,Gender,(71x24),(441x325)
51,Firefox,confirmation.php,id_gender,true,null,(10x38),(441x351)
52,Firefox,confirmation.php,id_f_label_s,true,State,(49x24),(866x325)
53,Firefox,confirmation.php,id_state,true,null,(10x38),(866x351)
54,Firefox,confirmation.php,id_cb_label_t,true,Terms?,(69x24),(441x409)
55,Firefox,confirmation.php,id_terms,true,null,(10x38),(441x435)
56,Firefox,confirmation.php,id_back_button,true,null,(108x37),(866x499)
57,Firefox,confirmation.php,copyright,true,© 2020 alex.academy,(230x24),(725x558)
